Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Team
"N4RRATE
KC",157,1.27,245.7,1.27,73%,163.7,0.84,0.41,0.12,0.10,26%,21%,4/19,27,132,104,65,19,16,KC
"Less
LOUD",250,1.21,213.2,1.32,80%,155.1,0.78,0.32,0.09,0.08,30%,3%,1/35,27,195,148,80,23,20,LOUD
"tuyz
LOUD",250,1.18,190.4,1.29,74%,128.0,0.74,0.32,0.05,0.05,30%,11%,4/37,22,186,144,80,13,12,LOUD
"MiniBoo
TH",130,1.16,245.0,1.24,77%,153.6,0.88,0.28,0.17,0.14,31%,25%,3/12,25,114,92,37,22,18,TH
"RieNs
TH",130,1.15,230.3,1.14,78%,157.3,0.79,0.34,0.11,0.05,36%,,0/22,22,103,90,44,14,7,TH
"zekken
SEN",421,1.13,259.5,1.21,74%,167.1,0.90,0.21,0.23,0.19,22%,17%,5/30,32,381,314,90,96,81,SEN
"johnqt
SEN",421,1.12,198.1,1.17,79%,130.9,0.70,0.28,0.09,0.04,24%,18%,14/80,21,293,251,117,36,18,SEN
"cauanzin
LOUD",250,1.08,223.3,1.10,74%,143.1,0.78,0.29,0.10,0.10,25%,7%,1/15,22,195,178,72,24,25,LOUD
"Munchkin
GEN",328,1.08,189.6,1.09,71%,125.5,0.67,0.40,0.06,0.08,22%,13%,7/54,19,220,201,131,20,27,GEN
"TenZ
SEN",421,1.07,208.2,1.05,77%,131.2,0.75,0.54,0.09,0.08,29%,27%,8/30,25,314,300,226,36,32,SEN
"Karon
GEN",328,1.05,207.3,1.06,74%,140.4,0.74,0.36,0.10,0.06,29%,16%,7/45,20,242,229,119,32,19,GEN
"something
PRX",366,1.05,212.6,1.08,70%,136.6,0.75,0.22,0.15,0.11,25%,14%,6/42,24,274,254,79,54,42,PRX
"Meteor
GEN",328,1.05,230.0,1.14,73%,152.0,0.82,0.19,0.12,0.13,29%,13%,3/24,22,268,236,61,40,41,GEN
"t3xture
GEN",328,1.04,224.1,1.07,71%,144.3,0.80,0.16,0.16,0.13,24%,17%,4/23,22,264,246,53,54,41,GEN
"MAGNUM
KC",157,1.03,195.1,1.00,69%,129.3,0.68,0.29,0.10,0.08,23%,7%,1/15,18,106,106,45,15,13,KC
"benjyfishy
TH",130,1.03,216.8,1.12,72%,140.4,0.78,0.23,0.11,0.09,29%,13%,2/15,24,101,90,30,14,12,TH
"saadhak
LOUD",250,1.02,191.3,0.99,73%,128.1,0.65,0.38,0.09,0.13,17%,17%,4/23,21,162,163,94,22,33,LOUD
"f0rsakeN
PRX",366,1.02,216.5,1.02,69%,140.4,0.75,0.36,0.12,0.10,30%,20%,5/25,25,273,268,132,44,38,PRX
"marteen
KC",157,1.01,214.6,1.02,73%,138.4,0.75,0.20,0.16,0.18,24%,13%,1/8,29,118,116,32,25,29,KC
"Zellsis
SEN",421,1.01,188.4,0.93,72%,121.9,0.62,0.41,0.06,0.08,19%,14%,6/43,21,263,282,172,26,34,SEN
"Autumn
FPX",86,1.00,231.8,0.96,69%,154.5,0.79,0.19,0.22,0.08,28%,33%,2/6,25,68,71,16,19,7,FPX
"ZmjjKK
EDG",154,1.00,252.0,1.08,69%,164.3,0.88,0.25,0.19,0.11,25%,14%,2/14,30,135,125,39,29,17,EDG
"Smoggy
EDG",154,0.98,194.4,0.99,73%,127.9,0.71,0.36,0.09,0.06,29%,11%,4/35,19,110,111,56,14,9,EDG
"d4v41
PRX",366,0.98,182.3,0.90,70%,121.5,0.64,0.39,0.04,0.05,28%,13%,8/62,25,234,259,143,16,17,PRX
"Sacy
SEN",421,0.97,173.8,0.86,73%,113.6,0.59,0.40,0.06,0.09,24%,10%,5/49,23,249,289,169,25,38,SEN
"sh1n
KC",157,0.97,178.0,0.98,81%,109.9,0.64,0.36,0.06,0.06,30%,11%,3/28,21,101,103,56,9,10,KC
"Quick
LOUD",250,0.96,218.5,1.03,67%,140.6,0.77,0.16,0.16,0.15,31%,19%,3/16,27,193,187,39,41,38,LOUD
"Life
FPX",86,0.92,230.8,1.04,64%,157.6,0.83,0.12,0.15,0.15,39%,33%,3/9,25,71,68,10,13,13,FPX
"Boo
TH",130,0.90,162.3,0.87,68%,104.4,0.61,0.36,0.04,0.12,32%,12%,2/17,15,79,91,47,5,16,TH
"Monyet
PRX",366,0.89,199.6,0.87,66%,129.9,0.68,0.30,0.12,0.17,24%,19%,7/36,24,250,289,110,45,64,PRX
"nobody
EDG",154,0.88,173.1,0.82,66%,124.1,0.60,0.26,0.07,0.16,33%,11%,2/18,20,92,112,40,11,25,EDG
"Lakia
GEN",328,0.86,153.1,0.78,68%,104.1,0.54,0.27,0.06,0.09,24%,32%,9/28,19,177,228,87,21,31,GEN
"CHICHOO
EDG",154,0.85,169.0,0.81,66%,119.6,0.60,0.23,0.07,0.07,29%,,0/23,23,93,115,36,11,11,EDG
"paTiTek
TH",130,0.84,149.8,0.65,71%,100.1,0.47,0.48,0.09,0.08,16%,,0/7,14,61,94,63,12,10,TH
"mindfreak
PRX",366,0.84,162.8,0.84,66%,108.4,0.59,0.23,0.03,0.10,37%,4%,2/49,21,217,258,83,12,35,PRX
"Lysoar
FPX",86,0.82,152.8,0.72,57%,110.8,0.51,0.20,0.06,0.05,30%,,0/17,15,44,61,17,5,4,FPX
"tomaszy
KC",157,0.80,138.7,0.66,63%,98.5,0.46,0.29,0.04,0.09,32%,27%,4/15,15,73,110,46,7,14,KC
"Haodong
EDG",154,0.79,152.3,0.72,69%,110.2,0.54,0.27,0.06,0.10,27%,36%,4/11,19,83,115,41,10,16,EDG
"BerLIN
FPX",86,0.76,150.0,0.70,65%,99.0,0.53,0.31,0.13,0.13,36%,8%,1/12,14,46,66,27,11,11,FPX
"AAAAY
FPX",86,0.74,161.0,0.69,66%,112.1,0.56,0.27,0.01,0.02,31%,7%,1/14,15,48,70,23,1,2,FPX
